"Publication.Year","Title","Publication.Title","item.type"
2023,"Risk Factors for Immune Checkpoint Inhibitor Immunotherapy Toxicity Among Older Adults with Cancer","The Oncologist","journalArticle"
2023,"PP01. 25 Incidence and Timing of Immune-Related Adverse Events in Patients With Non-Small Cell Lung Cancer Treated With Immune Checkpoint Inhibitor as Monotherapy or in Combination With Chemotherapy","Journal of Thoracic Oncology","abstract"
2023,"Patterns of weight change and overall survival (OS) during first-line pembrolizumab treatment in patients with non-small cell lung cancer (NSCLC).","","abstract"
2023,"Novel STK11 differentiation phenotype classifier STK11-DPC: Immunosuppressive tumor microenvironment (TME) and response to immune checkpoint blockade (ICB) in STK11-deficient NSCLC.","","abstract"
2023,"CGE23-070: Baseline Neutrophil to Lymphocyte Ratio and Its Change Over Time Predict Overall Survival in Metastatic Nonâ€“Small Cell Lung Cancer Patients Who Received First Line Pembrolizumab Therapy","Journal of the National Comprehensive Cancer Network","abstract"
2023,"Sex differences in prognostic utility of peripheral eosinophil count in first-line immune checkpoint therapy against metastatic NSCLC.","","abstract"
2023,"Abstract PR004: Older adult-specific microbes correlate with treatment response and markers of T-cell senescence in NSCLC","Cancer Research","abstract"
2022,"78P Association between obesity, sex, and overall survival in patients with metastatic cancers treated with first-or second-line immune checkpoint inhibitors","Annals of Oncology","abstract"
2022,"EP08. 01-019 Modifiable biomarkers of response to immune checkpoint inhibitor treatment in non-small cell lung cancer","Journal of Thoracic Oncology","abstract"
2021,"Bayesian structural time series for biomedical sensor data: A flexible modeling framework for evaluating interventions","PLoS computational biology","journalArticle"
2021,"The aging microbiome and response to immunotherapy: Considerations for the treatment of older adults with cancer","Journal of geriatric oncology","journalArticle"
2021,"A Geriatric Assessment (GA) intervention to reduce treatment toxicity among older adults with advanced lung cancer: A subgroup analysis from a cluster randomized controlled trial (CRCT)","Journal of Geriatric Oncology","abstract"
2021,"Early changes in lymphocyte/monocyte ratio on-treatment as a prognostic marker to predict overall survival in patients with advanced cancer treated with immune checkpoint inhibitors","","abstract"
2021,"The gut microbiome correlates with common geriatric assessments in the context of lung cancer treatment for older adults","Journal of Geriatric Oncology","abstract"
2020,"Inferring the role of the microbiome on survival in patients treated with immune checkpoint inhibitors: causal modeling, timing, and classes of concomitant medications","BMC cancer","journalArticle"
2020,"Brief report: inhaled corticosteroid use and the risk of checkpoint inhibitor pneumonitis in patients with advanced cancer","Cancer Immunology, Immunotherapy","journalArticle"
2020,"Inhaled corticosteroid use and risk of pneumonitis in patients treated with immune checkpoint inhibitors.","","abstract"
2020,"Neutrophil to lymphocyte ratio, PD-L1 expression, and survival in patients with advanced non-small cell lung cancer receiving first-line immune checkpoint inhibitor therapy.","","abstract"
2020,"Platelets impact the responsiveness of immune checkpoint blockade therapy in solid tumors.","","abstract"
2020,"Neutrophil-lymphocyte score: A novel prognostic scoring system that utilized the dynamic change of neutrophil, lymphocyte, and albumin and its comparison to other indices.","","abstract"
2019,"Change in neutrophil to lymphocyte ratio during immunotherapy treatment is a non-linear predictor of patient outcomes in advanced cancers","Journal of cancer research and clinical oncology","journalArticle"
2019,"Risk factors for immunotherapy toxicity among older adults","JOURNAL OF THE AMERICAN GERIATRICS SOCIETY","abstract"
2019,"Re-evaluating the neutrophil-to-lymphocyte ratio: Machine learning-based variable selection for predicting survival at twelve months in late-stage cancer patients receiving immunotherapy.","","abstract"
